UACE20,GEOID20,GEOIDFQ20,NAME20,NAMELSAD20,urban_mean,STATEFP,GEOID,STUSPS,NAME,rural_mean,urban_inc
39430,39430,400C200US39430,"Holland, MI","Holland, MI Urban Area",6.754260221,26,26,MI,Michigan,5.145389178,1.609
95833,95833,400C200US95833,"Wilmington, NC","Wilmington, NC Urban Area",6.868019886,37,37,NC,North Carolina,5.974952781,0.893
6058,6058,400C200US06058,"Beaumont, TX","Beaumont, TX Urban Area",7.936143682,48,48,TX,Texas,6.463495491,1.473
55603,55603,400C200US55603,"Mauldin--Simpsonville, SC","Mauldin--Simpsonville, SC Urban Area",7.624112178,45,45,SC,South Carolina,6.590711332,1.033
70993,70993,400C200US70993,"Port Arthur, TX","Port Arthur, TX Urban Area",7.931119403,48,48,TX,Texas,6.463495491,1.468
44479,44479,400C200US44479,"Kennewick--Richland--Pasco, WA","Kennewick--Richland--Pasco, WA Urban Area",5.875360065,53,53,WA,Washington,5.01396412,0.861
42265,42265,400C200US42265,"Jackson, TN","Jackson, TN Urban Area",7.315272963,47,47,TN,Tennessee,6.198586557,1.117
40213,40213,400C200US40213,"Hot Springs, AR","Hot Springs, AR Urban Area",7.396171899,5,5,AR,Arkansas,6.941410046,0.455
35380,35380,400C200US35380,"Greenville, NC","Greenville, NC Urban Area",6.84905008,37,37,NC,North Carolina,5.974952781,0.874
46531,46531,400C200US46531,"Lake Charles, LA","Lake Charles, LA Urban Area",8.040090994,22,22,LA,Louisiana,7.563901787,0.476
75718,75718,400C200US75718,"Rockford, IL","Rockford, IL Urban Area",6.818682041,17,17,IL,Illinois,6.723665264,0.095
36190,36190,400C200US36190,"Hagerstown, MD--WV--PA--VA","Hagerstown, MD--WV--PA--VA Urban Area",7.754141408,54,54,WV,West Virginia,5.530576165,2.224
19558,19558,400C200US19558,"Concord, NC","Concord, NC Urban Area",7.572170022,37,37,NC,North Carolina,5.974952781,1.597
57466,57466,400C200US57466,"Milwaukee, WI","Milwaukee, WI Urban Area",7.282559078,55,55,WI,Wisconsin,5.252788515,2.03
80713,80713,400C200US80713,"Sevierville, TN","Sevierville, TN Urban Area",6.854942811,47,47,TN,Tennessee,6.198586557,0.656
18964,18964,400C200US18964,"Columbia, SC","Columbia, SC Urban Area",7.715899986,45,45,SC,South Carolina,6.590711332,1.125
71317,71317,400C200US71317,"Portland, OR--WA","Portland, OR--WA Urban Area",6.532238007,41,41,OR,Oregon,5.347523912,1.185
75421,75421,400C200US75421,"Roanoke, VA","Roanoke, VA Urban Area",6.497730957,51,51,VA,Virginia,5.831688009,0.666
71803,71803,400C200US71803,"Poughkeepsie--Newburgh, NY","Poughkeepsie--Newburgh, NY Urban Area",7.158092323,36,36,NY,New York,5.018485272,2.14
22042,22042,400C200US22042,"Dallas--Fort Worth--Arlington, TX","Dallas--Fort Worth--Arlington, TX Urban Area",7.88743712,48,48,TX,Texas,6.463495491,1.424
78580,78580,400C200US78580,"San Antonio, TX","San Antonio, TX Urban Area",8.244606984,48,48,TX,Texas,6.463495491,1.781
44992,44992,400C200US44992,"Killeen, TX","Killeen, TX Urban Area",7.531706439,48,48,TX,Texas,6.463495491,1.068
10351,10351,400C200US10351,"Bristol, TN--VA","Bristol, TN--VA Urban Area",6.176790722,47,47,TN,Tennessee,6.198586557,-0.022
87193,87193,400C200US87193,"Texarkana, TX--AR","Texarkana, TX--AR Urban Area",7.806972518,48,48,TX,Texas,6.463495491,1.343
55252,55252,400C200US55252,"Martinsville, VA","Martinsville, VA Urban Area",6.765315505,51,51,VA,Virginia,5.831688009,0.934
85708,85708,400C200US85708,"Sumter, SC","Sumter, SC Urban Area",7.263008992,45,45,SC,South Carolina,6.590711332,0.672
90892,90892,400C200US90892,"Virginia Beach--Norfolk, VA","Virginia Beach--Norfolk, VA Urban Area",6.670515073,51,51,VA,Virginia,5.831688009,0.839
96103,96103,400C200US96103,"Winchester, VA","Winchester, VA Urban Area",7.386549427,51,51,VA,Virginia,5.831688009,1.555
69454,69454,400C200US69454,"Pine Bluff, AR","Pine Bluff, AR Urban Area",7.869905151,5,5,AR,Arkansas,6.941410046,0.928
97750,97750,400C200US97750,"York, PA","York, PA Urban Area",8.330676414,42,42,PA,Pennsylvania,5.941080114,2.39
32653,32653,400C200US32653,"Gastonia, NC","Gastonia, NC Urban Area",7.613863582,37,37,NC,North Carolina,5.974952781,1.639
60733,60733,400C200US60733,"Murfreesboro, TN","Murfreesboro, TN Urban Area",7.694365447,47,47,TN,Tennessee,6.198586557,1.496
23500,23500,400C200US23500,"Denton--Lewisville, TX","Denton--Lewisville, TX Urban Area",7.961240958,48,48,TX,Texas,6.463495491,1.498
95077,95077,400C200US95077,"Wichita, KS","Wichita, KS Urban Area",7.223395611,20,20,KS,Kansas,5.826247591,1.397
43723,43723,400C200US43723,"Kalamazoo, MI","Kalamazoo, MI Urban Area",7.380899258,26,26,MI,Michigan,5.145389178,2.236
5707,5707,400C200US05707,"Battle Creek, MI","Battle Creek, MI Urban Area",7.23405883,26,26,MI,Michigan,5.145389178,2.089
37081,37081,400C200US37081,"Harrisburg, PA","Harrisburg, PA Urban Area",8.301395375,42,42,PA,Pennsylvania,5.941080114,2.36
83926,83926,400C200US83926,"Springfield, MA--CT","Springfield, MA--CT Urban Area",7.128582893,25,25,MA,Massachusetts,4.704029792,2.425
7138,7138,400C200US07138,"Benton Harbor--Lincoln--St. Joseph, MI","Benton Harbor--Lincoln--St. Joseph, MI Urban Area",6.844526956,26,26,MI,Michigan,5.145389178,1.699
35164,35164,400C200US35164,"Greensboro, NC","Greensboro, NC Urban Area",7.347739749,37,37,NC,North Carolina,5.974952781,1.373
50392,50392,400C200US50392,"Little Rock, AR","Little Rock, AR Urban Area",8.026784262,5,5,AR,Arkansas,6.941410046,1.085
82900,82900,400C200US82900,"Somerset, KY","Somerset, KY Urban Area",6.73778806,21,21,KY,Kentucky,6.378271804,0.36
8380,8380,400C200US08380,"Bloomington, IN","Bloomington, IN Urban Area",7.319772688,18,18,IN,Indiana,7.004757482,0.315
11350,11350,400C200US11350,"Buffalo, NY","Buffalo, NY Urban Area",6.652956348,36,36,NY,New York,5.018485272,1.634
